6201 東証1部 (株)豊田自動織機（輸送用機器）,,,,,
日付,始値,高値,安値,終値,出来高,終値調整値
"2019-01-04","4920","4985","4855","4935","707300","4935"
"2019-01-07","5110","5160","5070","5110","435500","5110"
"2019-01-08","5130","5200","5050","5090","695600","5090"
"2019-01-09","5160","5240","5130","5230","497600","5230"
"2019-01-10","5180","5300","5180","5290","541000","5290"
"2019-01-11","5350","5420","5300","5400","612500","5400"
"2019-01-15","5370","5390","5290","5360","560100","5360"
"2019-01-16","5360","5360","5260","5350","450600","5350"
"2019-01-17","5360","5380","5320","5360","386600","5360"
"2019-01-18","5410","5450","5380","5420","349200","5420"
"2019-01-21","5470","5500","5430","5480","316300","5480"
"2019-01-22","5510","5510","5410","5430","255800","5430"
"2019-01-23","5330","5400","5290","5310","505900","5310"
"2019-01-24","5040","5310","5020","5300","694800","5300"
"2019-01-25","5320","5390","5320","5370","537900","5370"
"2019-01-28","5390","5440","5370","5390","400600","5390"
"2019-01-29","5390","5400","5320","5400","510400","5400"
"2019-01-30","5370","5400","5270","5300","590800","5300"
"2019-01-31","5400","5430","5330","5370","460300","5370"
"2019-02-01","5310","5610","5280","5490","623200","5490"
"2019-02-04","5650","5710","5570","5620","628500","5620"
"2019-02-05","5590","5660","5570","5600","411800","5600"
"2019-02-06","5620","5640","5570","5600","342700","5600"
"2019-02-07","5620","5630","5460","5490","330700","5490"
"2019-02-08","5400","5440","5340","5380","483600","5380"
"2019-02-12","5420","5550","5400","5530","412900","5530"
"2019-02-13","5510","5580","5460","5570","325200","5570"
"2019-02-14","5560","5570","5490","5510","281300","5510"
"2019-02-15","5520","5540","5420","5510","454700","5510"
"2019-02-18","5600","5610","5530","5590","342600","5590"
"2019-02-19","5560","5590","5530","5570","311100","5570"
"2019-02-20","5600","5640","5580","5620","299100","5620"
"2019-02-21","5660","5680","5580","5650","434000","5650"
"2019-02-22","5620","5640","5560","5630","233700","5630"
"2019-02-25","5710","5730","5670","5700","286100","5700"
